[ 2024-12-24 15:36:37,881 ] 14 root - INFO - Initiate the data ingestion
[ 2024-12-24 15:36:44,965 ] 63 root - INFO - Performed train test split on the dataframe
[ 2024-12-24 15:36:44,965 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-24 15:36:44,965 ] 73 root - INFO - Exporting train and test file path.
[ 2024-12-24 15:36:45,060 ] 82 root - INFO - Exported train and test file path.
[ 2024-12-24 15:36:45,060 ] 16 root - INFO - data initiation completed
[ 2024-12-24 15:36:45,060 ] 20 root - INFO - initiate the data validation
[ 2024-12-24 15:36:45,164 ] 35 root - INFO - Required no of columns:2
[ 2024-12-24 15:36:45,183 ] 36 root - INFO - DataFrame has columns: 31
[ 2024-12-24 15:36:45,183 ] 35 root - INFO - Required no of columns:2
[ 2024-12-24 15:36:45,183 ] 36 root - INFO - DataFrame has columns: 31
[ 2024-12-24 15:36:45,389 ] 22 root - INFO - data validation completed
